Alpha_Coeff,States,ε
0.75,40000.0,0.0005103959261237229
0.25,15000.0,0.0013626021046523912
0.25,40000.0,0.0004978740328620896
1.0,30000.0,0.001064056788834062
0.75,15000.0,0.0013481219759388006
0.0,15000.0,0.0020958874704169006
0.0,30000.0,0.001074509397675112
1.25,25000.0,0.0008027032379263227
0.5,1000.0,0.010952319571316921
0.75,10000.0,0.002078184047544165
0.5,10000.0,0.001080285930262598
1.25,20000.0,0.0010296206467566734
0.0,1000.0,0.03162546753778543
0.25,20000.0,0.001024236321452771
0.25,10000.0,0.0020056266377843435
1.25,45000.0,0.0004538347667982875
0.75,20000.0,0.0010184709686841035
1.0,25000.0,0.0012673856095253217
0.25,25000.0,0.000797349014323048
0.0,5000.0,0.006268407916102751
0.0,50000.0,0.0006404173009167842
0.25,5000.0,0.0040026224466363095
1.0,15000.0,0.0020908108864251635
1.25,5000.0,0.00403759553798792
1.25,10000.0,0.0020430908982944744
0.25,35000.0,0.0005801365361131481
1.0,10000.0,0.0031292043988141874
0.5,15000.0,0.0007281470788934094
0.5,35000.0,0.0003097723131217796
0.75,45000.0,0.0004496086977180443
0.75,5000.0,0.003992119289097027
0.0,10000.0,0.003147056883848034
0.25,45000.0,0.00045180668655949444
0.5,25000.0,0.0004308936811960761
0.0,35000.0,0.0008751103156965035
0.0,20000.0,0.0015851186208991474
0.5,30000.0,0.00036230393855121945
1.25,35000.0,0.0005654544649516259
0.75,50000.0,0.0004072069464837174
0.75,35000.0,0.0005790727257066968
0.5,20000.0,0.0005333980634537423
1.25,15000.0,0.0013318128826031361
0.25,30000.0,0.0006610121209013011
0.75,25000.0,0.0008242920633050758
0.75,30000.0,0.0006851125372290629
0.25,1000.0,0.020665079937596698
0.5,45000.0,0.0002457012186090829
1.25,30000.0,0.0006622236949117137
0.0,45000.0,0.0007067573994086828
1.25,40000.0,0.0005043346914460248
0.25,50000.0,0.0004086666114534898
1.0,50000.0,0.000645077771495331
0.5,50000.0,0.00021659479577493888
0.5,40000.0,0.0002653066705898893
0.0,25000.0,0.0012729967365901025
1.0,35000.0,0.0008812077017606462
1.0,45000.0,0.0006865341292497665
1.0,20000.0,0.0015766538108273847
0.0,40000.0,0.0007742795587396697
0.75,1000.0,0.019789087126979403
1.25,50000.0,0.00039677238813649803
1.0,5000.0,0.0061425005107495784
1.25,1000.0,0.019976429258989854
0.5,5000.0,0.002172949383383623
1.0,40000.0,0.0007923034606055098
1.0,1000.0,0.032086600530916
