Filename,Alpha_Coeff,Alpha_Label,Pt,States,Rows,Cols,R2_Score,RMSE,ε
gpu_alpha_0.75pi_Pt_0.9107_100x100_mesh_4.5E+04_states_SIM_02_05_2026_17_11_03.csv,0.75,0.75π,0.9107,45000.0,100,100,0.9994771742750939,0.004320151803542235,0.0005228257249061397
gpu_alpha_0.75pi_Pt_0.9107_100x100_mesh_5.0E+03_states_SIM_02_05_2026_17_14_55.csv,0.75,0.75π,0.9107,5000.0,100,100,0.9959209216079348,0.01206706241997395,0.004079078392065227
gpu_alpha_0.00pi_Pt_0.9107_100x100_mesh_1.0E+04_states_SIM_02_05_2026_16_59_22.csv,0.0,0.00π,0.9107,10000.0,100,100,0.9964524202046876,0.007564346113531628,0.0035475797953123944
gpu_alpha_0.25pi_Pt_0.9107_100x100_mesh_4.5E+04_states_SIM_02_05_2026_17_01_00.csv,0.25,0.25π,0.9107,45000.0,100,100,0.9994745639767251,0.0043309229307500205,0.0005254360232749278
gpu_alpha_0.50pi_Pt_0.9107_100x100_mesh_2.5E+04_states_SIM_02_05_2026_17_08_10.csv,0.5,0.50π,0.9107,25000.0,100,100,0.9995561051324745,0.005534182134053526,0.0004438948675254961
gpu_alpha_0.00pi_Pt_0.9107_100x100_mesh_3.5E+04_states_SIM_02_05_2026_16_56_16.csv,0.0,0.00π,0.9107,35000.0,100,100,0.9987724015579386,0.004449728056850144,0.0012275984420614394
gpu_alpha_0.00pi_Pt_0.9107_100x100_mesh_2.0E+04_states_SIM_02_05_2026_16_57_59.csv,0.0,0.00π,0.9107,20000.0,100,100,0.998050879768913,0.005606923367563574,0.0019491202310869538
gpu_alpha_0.50pi_Pt_0.9107_100x100_mesh_3.0E+04_states_SIM_02_05_2026_17_07_39.csv,0.5,0.50π,0.9107,30000.0,100,100,0.9996232089271726,0.005098749650251409,0.0003767910728273982
gpu_alpha_1.25pi_Pt_0.9107_100x100_mesh_3.5E+04_states_SIM_02_05_2026_17_21_30.csv,1.25,1.25π,0.9107,35000.0,100,100,0.9993582709950766,0.004786260894436092,0.0006417290049234303
gpu_alpha_0.75pi_Pt_0.9107_100x100_mesh_3.5E+04_states_SIM_02_05_2026_17_12_02.csv,0.75,0.75π,0.9107,35000.0,100,100,0.9993478417866729,0.004824996664774785,0.000652158213327092
gpu_alpha_0.50pi_Pt_0.9107_100x100_mesh_2.0E+04_states_SIM_02_05_2026_17_08_40.csv,0.5,0.50π,0.9107,20000.0,100,100,0.9994509927190529,0.00615463692758831,0.0005490072809470892
gpu_alpha_1.25pi_Pt_0.9107_100x100_mesh_1.5E+04_states_SIM_02_05_2026_17_23_27.csv,1.25,1.25π,0.9107,15000.0,100,100,0.9985881561483396,0.0070992728315914435,0.001411843851660377
gpu_alpha_0.25pi_Pt_0.9107_100x100_mesh_3.0E+04_states_SIM_02_05_2026_17_02_37.csv,0.25,0.25π,0.9107,30000.0,100,100,0.9992586336680932,0.005144426456415512,0.0007413663319068009
gpu_alpha_0.75pi_Pt_0.9107_100x100_mesh_2.5E+04_states_SIM_02_05_2026_17_13_01.csv,0.75,0.75π,0.9107,25000.0,100,100,0.9991026179870864,0.005659905935807553,0.0008973820129135612
gpu_alpha_0.75pi_Pt_0.9107_100x100_mesh_3.0E+04_states_SIM_02_05_2026_17_12_32.csv,0.75,0.75π,0.9107,30000.0,100,100,0.999241777520395,0.0052025811306472955,0.0007582224796049974
gpu_alpha_0.25pi_Pt_0.9107_100x100_mesh_1.0E+03_states_SIM_02_05_2026_17_05_38.csv,0.25,0.25π,0.9107,1000.0,100,100,0.9792506254122506,0.027215921205518946,0.020749374587749392
gpu_alpha_0.50pi_Pt_0.9107_100x100_mesh_4.5E+04_states_SIM_02_05_2026_17_06_04.csv,0.5,0.50π,0.9107,45000.0,100,100,0.9997419004011747,0.004219947528948666,0.0002580995988252788
gpu_alpha_1.25pi_Pt_0.9107_100x100_mesh_3.0E+04_states_SIM_02_05_2026_17_22_00.csv,1.25,1.25π,0.9107,30000.0,100,100,0.9992629062000729,0.0051295812410634125,0.0007370937999271465
gpu_alpha_0.00pi_Pt_0.9107_100x100_mesh_4.5E+04_states_SIM_02_05_2026_16_54_58.csv,0.0,0.00π,0.9107,45000.0,100,100,0.9989375700644215,0.00413957213923004,0.0010624299355784794
gpu_alpha_1.25pi_Pt_0.9107_100x100_mesh_4.0E+04_states_SIM_02_05_2026_17_21_01.csv,1.25,1.25π,0.9107,40000.0,100,100,0.9994242804172733,0.00453342081526864,0.0005757195827267303
gpu_alpha_0.50pi_Pt_0.9107_100x100_mesh_4.0E+04_states_SIM_02_05_2026_17_06_36.csv,0.5,0.50π,0.9107,40000.0,100,100,0.9997213491299,0.004384737391698333,0.00027865087010003897
gpu_alpha_0.00pi_Pt_0.9107_100x100_mesh_2.5E+04_states_SIM_02_05_2026_16_57_25.csv,0.0,0.00π,0.9107,25000.0,100,100,0.9983896663617252,0.005096396846172686,0.0016103336382747857
gpu_alpha_1.00pi_Pt_0.9107_100x100_mesh_3.5E+04_states_SIM_02_05_2026_17_16_47.csv,1.0,1.00π,0.9107,35000.0,100,100,0.9987618694735606,0.004468775336559789,0.001238130526439396
gpu_alpha_1.00pi_Pt_0.9107_100x100_mesh_4.5E+04_states_SIM_02_05_2026_17_15_48.csv,1.0,1.00π,0.9107,45000.0,100,100,0.9989700732350838,0.004075758828750319,0.0010299267649162003
gpu_alpha_1.00pi_Pt_0.9107_100x100_mesh_2.0E+04_states_SIM_02_05_2026_17_18_14.csv,1.0,1.00π,0.9107,20000.0,100,100,0.9980471105789329,0.005612342056451471,0.0019528894210670833
gpu_alpha_0.00pi_Pt_0.9107_100x100_mesh_4.0E+04_states_SIM_02_05_2026_16_55_34.csv,0.0,0.00π,0.9107,40000.0,100,100,0.9988754080895808,0.004258952371834179,0.0011245919104192481
gpu_alpha_0.75pi_Pt_0.9107_100x100_mesh_1.0E+03_states_SIM_02_05_2026_17_15_23.csv,0.75,0.75π,0.9107,1000.0,100,100,0.9800808371564089,0.026665889457425596,0.019919162843591076
gpu_alpha_1.00pi_Pt_0.9107_100x100_mesh_5.0E+03_states_SIM_02_05_2026_17_19_39.csv,1.0,1.00π,0.9107,5000.0,100,100,0.9934618487798578,0.010269109536582161,0.00653815122014223
gpu_alpha_1.25pi_Pt_0.9107_100x100_mesh_1.0E+03_states_SIM_02_05_2026_17_24_51.csv,1.25,1.25π,0.9107,1000.0,100,100,0.9799011565414472,0.02678588914936888,0.02009884345855284
gpu_alpha_0.50pi_Pt_0.9107_100x100_mesh_5.0E+03_states_SIM_02_05_2026_17_10_10.csv,0.5,0.50π,0.9107,5000.0,100,100,0.9978086067745897,0.012296274325650327,0.0021913932254102875
gpu_alpha_1.00pi_Pt_0.9107_100x100_mesh_4.0E+04_states_SIM_02_05_2026_17_16_18.csv,1.0,1.00π,0.9107,40000.0,100,100,0.9988635697361453,0.004281310255246024,0.001136430263854682
gpu_alpha_1.00pi_Pt_0.9107_100x100_mesh_1.0E+03_states_SIM_02_05_2026_17_20_06.csv,1.0,1.00π,0.9107,1000.0,100,100,0.9672951518231278,0.022967375690898472,0.03270484817687225
