Filename,Alpha_Coeff,Alpha_Label,Pt,States,Rows,Cols,R2_Score,RMSE,ε
alpha_0.25pi_Pt_1.0000_100x100_mesh_1.0E+03_states_SIM_02_05_2026_22_44_15.csv,0.25,0.25π,1.0,1000.0,100,100,0.9851262275632385,0.02530205311803891,0.014873772436761504
alpha_1.00pi_Pt_1.0000_100x100_mesh_3.5E+04_states_SIM_02_05_2026_22_56_06.csv,1.0,1.00π,1.0,35000.0,100,100,0.9994156755962197,0.003370986253377491,0.0005843244037803114
alpha_0.25pi_Pt_1.0000_100x100_mesh_1.0E+04_states_SIM_02_05_2026_22_43_15.csv,0.25,0.25π,1.0,10000.0,100,100,0.998498668556004,0.00803865679417445,0.001501331443996018
alpha_0.00pi_Pt_1.0000_100x100_mesh_1.5E+04_states_SIM_02_05_2026_22_37_34.csv,0.0,0.00π,1.0,15000.0,100,100,0.9987000457085382,0.005027985426633821,0.0012999542914618222
alpha_0.00pi_Pt_1.0000_100x100_mesh_5.0E+03_states_SIM_02_05_2026_22_38_35.csv,0.0,0.00π,1.0,5000.0,100,100,0.9960383948316686,0.008777393405290417,0.0039616051683313966
alpha_0.50pi_Pt_1.0000_100x100_mesh_5.0E+04_states_SIM_25_05_2026_14_36_29.csv,0.5,0.50π,1.0,50000.0,100,100,0.9998390206238352,0.003659511949900519,0.0001609793761648013
alpha_1.00pi_Pt_1.0000_100x100_mesh_4.0E+04_states_SIM_02_05_2026_22_55_34.csv,1.0,1.00π,1.0,40000.0,100,100,0.9994730882298287,0.0032010976250523345,0.0005269117701712898
alpha_0.25pi_Pt_1.0000_100x100_mesh_2.0E+04_states_SIM_02_05_2026_22_42_12.csv,0.25,0.25π,1.0,20000.0,100,100,0.9992841254339068,0.005550903319439351,0.0007158745660932122
alpha_0.75pi_Pt_1.0000_100x100_mesh_4.0E+04_states_SIM_02_05_2026_22_50_24.csv,0.75,0.75π,1.0,40000.0,100,100,0.9996218889764329,0.004034176232215494,0.00037811102356707536
alpha_0.50pi_Pt_1.0000_100x100_mesh_4.0E+04_states_SIM_02_05_2026_22_45_14.csv,0.5,0.50π,1.0,40000.0,100,100,0.9997984012743981,0.004095264350454614,0.00020159872560186214
alpha_0.50pi_Pt_1.0000_100x100_mesh_3.0E+04_states_SIM_02_05_2026_22_46_18.csv,0.5,0.50π,1.0,30000.0,100,100,0.99972769603195,0.004759540586994511,0.0002723039680499579
alpha_0.25pi_Pt_1.0000_100x100_mesh_2.5E+04_states_SIM_02_05_2026_22_41_41.csv,0.25,0.25π,1.0,25000.0,100,100,0.9993979274645376,0.0050906074073127075,0.0006020725354623571
alpha_1.25pi_Pt_1.0000_100x100_mesh_3.5E+04_states_SIM_02_05_2026_23_01_15.csv,1.25,1.25π,1.0,35000.0,100,100,0.99957143793439,0.004294890147177132,0.0004285620656100736
alpha_1.00pi_Pt_1.0000_100x100_mesh_1.0E+03_states_SIM_02_05_2026_22_59_44.csv,1.0,1.00π,1.0,1000.0,100,100,0.979440058359984,0.019995897781588837,0.02055994164001592
alpha_0.75pi_Pt_1.0000_100x100_mesh_5.0E+04_states_SIM_25_05_2026_14_37_06.csv,0.75,0.75π,1.0,50000.0,100,100,0.9997012226583795,0.0035860721756376117,0.00029877734162050523
alpha_0.75pi_Pt_1.0000_100x100_mesh_1.0E+03_states_SIM_02_05_2026_22_54_35.csv,0.75,0.75π,1.0,1000.0,100,100,0.9852777579855602,0.025172837550226836,0.014722242014439831
alpha_0.75pi_Pt_1.0000_100x100_mesh_3.0E+04_states_SIM_02_05_2026_22_51_29.csv,0.75,0.75π,1.0,30000.0,100,100,0.9994984288905249,0.004646344994982104,0.0005015711094750907
alpha_0.00pi_Pt_1.0000_100x100_mesh_3.0E+04_states_SIM_02_05_2026_22_35_59.csv,0.0,0.00π,1.0,30000.0,100,100,0.9993222050667558,0.003630606059923802,0.0006777949332441211
alpha_1.25pi_Pt_1.0000_100x100_mesh_5.0E+03_states_SIM_02_05_2026_23_04_23.csv,1.25,1.25π,1.0,5000.0,100,100,0.9970871857460948,0.011196997787406791,0.002912814253905207
alpha_1.25pi_Pt_1.0000_100x100_mesh_5.0E+04_states_SIM_25_05_2026_14_38_21.csv,1.25,1.25π,1.0,50000.0,100,100,0.9997041789507026,0.0035682866357969628,0.00029582104929738045
alpha_1.00pi_Pt_1.0000_100x100_mesh_5.0E+03_states_SIM_02_05_2026_22_59_14.csv,1.0,1.00π,1.0,5000.0,100,100,0.9959263164236973,0.00890068876825093,0.004073683576302661
alpha_0.50pi_Pt_1.0000_100x100_mesh_1.0E+03_states_SIM_02_05_2026_22_49_25.csv,0.5,0.50π,1.0,1000.0,100,100,0.9915320097547196,0.02654166871609541,0.008467990245280424
alpha_0.75pi_Pt_1.0000_100x100_mesh_4.5E+04_states_SIM_02_05_2026_22_49_52.csv,0.75,0.75π,1.0,45000.0,100,100,0.9996683681806147,0.0037780986497534946,0.0003316318193853095
