Filename,Alpha_Coeff,Alpha_Label,Pt,States,Rows,Cols,R2_Score
gpu_alpha_0.75pi_Pt_0.9107_20x20_mesh_1.0E+03_states_SIM_02_05_2026_22_11_03.csv,0.75,0.75π,0.9107,1000.0,20,20,0.9829342563409462
gpu_alpha_1.00pi_Pt_0.9107_20x20_mesh_1.0E+04_states_SIM_02_05_2026_22_11_12.csv,1.0,1.00π,0.9107,10000.0,20,20,0.9967034019949769
gpu_alpha_0.75pi_Pt_0.9107_20x20_mesh_1.5E+04_states_SIM_02_05_2026_22_10_59.csv,0.75,0.75π,0.9107,15000.0,20,20,0.9987151489380744
gpu_alpha_1.25pi_Pt_0.9107_20x20_mesh_1.5E+04_states_SIM_02_05_2026_22_11_22.csv,1.25,1.25π,0.9107,15000.0,20,20,0.9986681720809035
gpu_alpha_1.25pi_Pt_0.9107_20x20_mesh_3.5E+04_states_SIM_02_05_2026_22_11_17.csv,1.25,1.25π,0.9107,35000.0,20,20,0.9994011629225902
gpu_alpha_1.25pi_Pt_0.9107_20x20_mesh_3.0E+04_states_SIM_02_05_2026_22_11_18.csv,1.25,1.25π,0.9107,30000.0,20,20,0.9993050197163699
gpu_alpha_1.00pi_Pt_0.9107_20x20_mesh_1.0E+03_states_SIM_02_05_2026_22_11_14.csv,1.0,1.00π,0.9107,1000.0,20,20,0.96289114038989
gpu_alpha_1.00pi_Pt_0.9107_20x20_mesh_1.5E+04_states_SIM_02_05_2026_22_11_11.csv,1.0,1.00π,0.9107,15000.0,20,20,0.9972775510328042
gpu_alpha_1.00pi_Pt_0.9107_20x20_mesh_2.0E+04_states_SIM_02_05_2026_22_11_09.csv,1.0,1.00π,0.9107,20000.0,20,20,0.9980857893947973
gpu_alpha_0.00pi_Pt_0.9107_20x20_mesh_1.0E+04_states_SIM_02_05_2026_22_10_27.csv,0.0,0.00π,0.9107,10000.0,20,20,0.996306316484449
gpu_alpha_0.50pi_Pt_0.9107_20x20_mesh_1.5E+04_states_SIM_02_05_2026_22_10_48.csv,0.5,0.50π,0.9107,15000.0,20,20,0.9992165699702498
gpu_alpha_0.75pi_Pt_0.9107_20x20_mesh_4.0E+04_states_SIM_02_05_2026_22_10_54.csv,0.75,0.75π,0.9107,40000.0,20,20,0.9994414362773998
gpu_alpha_0.50pi_Pt_0.9107_20x20_mesh_5.0E+03_states_SIM_02_05_2026_22_10_50.csv,0.5,0.50π,0.9107,5000.0,20,20,0.9979786062566927
gpu_alpha_0.00pi_Pt_0.9107_20x20_mesh_2.5E+04_states_SIM_02_05_2026_22_10_24.csv,0.0,0.00π,0.9107,25000.0,20,20,0.9983412174931638
gpu_alpha_1.00pi_Pt_0.9107_20x20_mesh_3.5E+04_states_SIM_02_05_2026_22_11_06.csv,1.0,1.00π,0.9107,35000.0,20,20,0.9986739456493416
gpu_alpha_0.75pi_Pt_0.9107_20x20_mesh_3.0E+04_states_SIM_02_05_2026_22_10_56.csv,0.75,0.75π,0.9107,30000.0,20,20,0.9993259582090068
gpu_alpha_1.25pi_Pt_0.9107_20x20_mesh_4.0E+04_states_SIM_02_05_2026_22_11_16.csv,1.25,1.25π,0.9107,40000.0,20,20,0.9994038942556823
gpu_alpha_1.25pi_Pt_0.9107_20x20_mesh_2.0E+04_states_SIM_02_05_2026_22_11_21.csv,1.25,1.25π,0.9107,20000.0,20,20,0.9988180798863492
gpu_alpha_1.00pi_Pt_0.9107_20x20_mesh_4.5E+04_states_SIM_02_05_2026_22_11_04.csv,1.0,1.00π,0.9107,45000.0,20,20,0.9989285573797604
gpu_alpha_0.75pi_Pt_0.9107_20x20_mesh_5.0E+03_states_SIM_02_05_2026_22_11_02.csv,0.75,0.75π,0.9107,5000.0,20,20,0.9962003790928792
gpu_alpha_0.25pi_Pt_0.9107_20x20_mesh_3.5E+04_states_SIM_02_05_2026_22_10_32.csv,0.25,0.25π,0.9107,35000.0,20,20,0.9994133138724691
gpu_alpha_0.25pi_Pt_0.9107_20x20_mesh_1.0E+04_states_SIM_02_05_2026_22_10_38.csv,0.25,0.25π,0.9107,10000.0,20,20,0.9979553801854988
gpu_alpha_0.75pi_Pt_0.9107_20x20_mesh_1.0E+04_states_SIM_02_05_2026_22_11_01.csv,0.75,0.75π,0.9107,10000.0,20,20,0.9979995698950392
gpu_alpha_0.25pi_Pt_0.9107_20x20_mesh_2.5E+04_states_SIM_02_05_2026_22_10_35.csv,0.25,0.25π,0.9107,25000.0,20,20,0.999114521357018
gpu_alpha_0.75pi_Pt_0.9107_20x20_mesh_2.0E+04_states_SIM_02_05_2026_22_10_58.csv,0.75,0.75π,0.9107,20000.0,20,20,0.998912161908972
gpu_alpha_0.25pi_Pt_0.9107_20x20_mesh_4.0E+04_states_SIM_02_05_2026_22_10_31.csv,0.25,0.25π,0.9107,40000.0,20,20,0.9994246735956868
