'n_states','r2'
45000,-5.502680373251629e+23
40000,-6.419093151397594e+23
35000,-5.744142542594705e+23
30000,-7.11284929983584e+23
25000,-7.33454601749184e+23
20000,-8.375858903634575e+23
15000,-8.541948963424233e+23
10000,-1.3728365173879567e+24
5000,-1.979452753427664e+24
1000,-8.447882197781888e+24
