Filename,Alpha_Coeff,Alpha_Label,Pt,States,Rows,Cols,R2_Score,RMSE,ε
gpu_alpha_0.50pi_Pt_0.9107_100x100_mesh_3.5E+04_states_SIM_02_05_2026_17_07_07.csv,0.5,0.50π,0.9107,35000.0,100,100,0.9996902276868782,0.0046260309887691834,0.0003097723131217796
gpu_alpha_0.75pi_Pt_0.9107_100x100_mesh_4.5E+04_states_SIM_02_05_2026_17_11_03.csv,0.75,0.75π,0.9107,45000.0,100,100,0.999550391302282,0.004011035580197044,0.0004496086977180443
gpu_alpha_0.75pi_Pt_0.9107_100x100_mesh_5.0E+03_states_SIM_02_05_2026_17_14_55.csv,0.75,0.75π,0.9107,5000.0,100,100,0.996007880710903,0.011952009162399094,0.003992119289097027
gpu_alpha_0.00pi_Pt_0.9107_100x100_mesh_1.0E+04_states_SIM_02_05_2026_16_59_22.csv,0.0,0.00π,0.9107,10000.0,100,100,0.9968529431161519,0.007143756808486997,0.003147056883848034
gpu_alpha_0.25pi_Pt_0.9107_100x100_mesh_4.5E+04_states_SIM_02_05_2026_17_01_00.csv,0.25,0.25π,0.9107,45000.0,100,100,0.9995481933134405,0.004020827942824084,0.00045180668655949444
gpu_alpha_0.50pi_Pt_0.9107_100x100_mesh_2.5E+04_states_SIM_02_05_2026_17_08_10.csv,0.5,0.50π,0.9107,25000.0,100,100,0.9995691063188039,0.00545597411307868,0.0004308936811960761
gpu_alpha_0.00pi_Pt_0.9107_100x100_mesh_3.5E+04_states_SIM_02_05_2026_16_56_16.csv,0.0,0.00π,0.9107,35000.0,100,100,0.9991248896843035,0.0037670880110529962,0.0008751103156965035
gpu_alpha_0.00pi_Pt_0.9107_100x100_mesh_2.0E+04_states_SIM_02_05_2026_16_57_59.csv,0.0,0.00π,0.9107,20000.0,100,100,0.9984148813791008,0.005069968360174758,0.0015851186208991474
gpu_alpha_0.50pi_Pt_0.9107_100x100_mesh_3.0E+04_states_SIM_02_05_2026_17_07_39.csv,0.5,0.50π,0.9107,30000.0,100,100,0.9996376960614488,0.0050029223920689345,0.00036230393855121945
gpu_alpha_1.25pi_Pt_0.9107_100x100_mesh_3.5E+04_states_SIM_02_05_2026_17_21_30.csv,1.25,1.25π,0.9107,35000.0,100,100,0.9994345455350484,0.00449819192126904,0.0005654544649516259
gpu_alpha_0.75pi_Pt_0.9107_100x100_mesh_5.0E+04_states_SIM_25_05_2026_14_42_10.csv,0.75,0.75π,0.9107,50000.0,100,100,0.9995927930535163,0.0038172161392893062,0.0004072069464837174
gpu_alpha_0.75pi_Pt_0.9107_100x100_mesh_3.5E+04_states_SIM_02_05_2026_17_12_02.csv,0.75,0.75π,0.9107,35000.0,100,100,0.9994209272742933,0.004552036308500624,0.0005790727257066968
gpu_alpha_0.50pi_Pt_0.9107_100x100_mesh_2.0E+04_states_SIM_02_05_2026_17_08_40.csv,0.5,0.50π,0.9107,20000.0,100,100,0.9994666019365462,0.006070339147759306,0.0005333980634537423
gpu_alpha_1.25pi_Pt_0.9107_100x100_mesh_1.5E+04_states_SIM_02_05_2026_17_23_27.csv,1.25,1.25π,0.9107,15000.0,100,100,0.9986681871173969,0.0069033639158020904,0.0013318128826031361
gpu_alpha_0.25pi_Pt_0.9107_100x100_mesh_3.0E+04_states_SIM_02_05_2026_17_02_37.csv,0.25,0.25π,0.9107,30000.0,100,100,0.9993389878790987,0.004863443489385097,0.0006610121209013011
