Filename,Alpha_Coeff,Alpha_Label,Pt,States,Rows,Cols,R2_Score,RMSE
alpha_1.25pi_Pt_1.0000_100x100_mesh_1.5E+04_states_SIM_02_05_2026_23_03_21.csv,1.25,1.25π,1.0,15000.0,100,100,0.9989776101749115,0.006633663782445163
alpha_0.25pi_Pt_1.0000_100x100_mesh_4.5E+04_states_SIM_02_05_2026_22_39_32.csv,0.25,0.25π,1.0,45000.0,100,100,0.9996692421136371,0.0037731172470037303
alpha_0.50pi_Pt_1.0000_100x100_mesh_4.5E+04_states_SIM_02_05_2026_22_44_42.csv,0.5,0.50π,1.0,45000.0,100,100,0.9998171208217249,0.003900499085867005
alpha_0.25pi_Pt_1.0000_100x100_mesh_1.0E+03_states_SIM_02_05_2026_22_44_15.csv,0.25,0.25π,1.0,1000.0,100,100,0.9851262275632385,0.02530205311803891
alpha_1.00pi_Pt_1.0000_100x100_mesh_3.5E+04_states_SIM_02_05_2026_22_56_06.csv,1.0,1.00π,1.0,35000.0,100,100,0.9994156755962197,0.003370986253377491
alpha_0.25pi_Pt_1.0000_100x100_mesh_1.0E+04_states_SIM_02_05_2026_22_43_15.csv,0.25,0.25π,1.0,10000.0,100,100,0.998498668556004,0.00803865679417445
alpha_0.00pi_Pt_1.0000_100x100_mesh_1.5E+04_states_SIM_02_05_2026_22_37_34.csv,0.0,0.00π,1.0,15000.0,100,100,0.9987000457085382,0.005027985426633821
alpha_0.00pi_Pt_1.0000_100x100_mesh_5.0E+03_states_SIM_02_05_2026_22_38_35.csv,0.0,0.00π,1.0,5000.0,100,100,0.9960383948316686,0.008777393405290417
alpha_1.00pi_Pt_1.0000_100x100_mesh_4.0E+04_states_SIM_02_05_2026_22_55_34.csv,1.0,1.00π,1.0,40000.0,100,100,0.9994730882298287,0.0032010976250523345
alpha_0.25pi_Pt_1.0000_100x100_mesh_2.0E+04_states_SIM_02_05_2026_22_42_12.csv,0.25,0.25π,1.0,20000.0,100,100,0.9992841254339068,0.005550903319439351
alpha_0.75pi_Pt_1.0000_100x100_mesh_4.0E+04_states_SIM_02_05_2026_22_50_24.csv,0.75,0.75π,1.0,40000.0,100,100,0.9996218889764329,0.004034176232215494
alpha_0.50pi_Pt_1.0000_100x100_mesh_4.0E+04_states_SIM_02_05_2026_22_45_14.csv,0.5,0.50π,1.0,40000.0,100,100,0.9997984012743981,0.004095264350454614
alpha_0.50pi_Pt_1.0000_100x100_mesh_3.0E+04_states_SIM_02_05_2026_22_46_18.csv,0.5,0.50π,1.0,30000.0,100,100,0.99972769603195,0.004759540586994511
alpha_0.25pi_Pt_1.0000_100x100_mesh_2.5E+04_states_SIM_02_05_2026_22_41_41.csv,0.25,0.25π,1.0,25000.0,100,100,0.9993979274645376,0.0050906074073127075
alpha_1.25pi_Pt_1.0000_100x100_mesh_3.5E+04_states_SIM_02_05_2026_23_01_15.csv,1.25,1.25π,1.0,35000.0,100,100,0.99957143793439,0.004294890147177132
alpha_1.00pi_Pt_1.0000_100x100_mesh_1.0E+03_states_SIM_02_05_2026_22_59_44.csv,1.0,1.00π,1.0,1000.0,100,100,0.979440058359984,0.019995897781588837
alpha_0.75pi_Pt_1.0000_100x100_mesh_1.0E+03_states_SIM_02_05_2026_22_54_35.csv,0.75,0.75π,1.0,1000.0,100,100,0.9852777579855602,0.025172837550226836
alpha_0.75pi_Pt_1.0000_100x100_mesh_3.0E+04_states_SIM_02_05_2026_22_51_29.csv,0.75,0.75π,1.0,30000.0,100,100,0.9994984288905249,0.004646344994982104
alpha_0.00pi_Pt_1.0000_100x100_mesh_3.0E+04_states_SIM_02_05_2026_22_35_59.csv,0.0,0.00π,1.0,30000.0,100,100,0.9993222050667558,0.003630606059923802
alpha_1.25pi_Pt_1.0000_100x100_mesh_5.0E+03_states_SIM_02_05_2026_23_04_23.csv,1.25,1.25π,1.0,5000.0,100,100,0.9970871857460948,0.011196997787406791
alpha_1.00pi_Pt_1.0000_100x100_mesh_5.0E+03_states_SIM_02_05_2026_22_59_14.csv,1.0,1.00π,1.0,5000.0,100,100,0.9959263164236973,0.00890068876825093
alpha_0.50pi_Pt_1.0000_100x100_mesh_1.0E+03_states_SIM_02_05_2026_22_49_25.csv,0.5,0.50π,1.0,1000.0,100,100,0.9915320097547196,0.02654166871609541
alpha_0.75pi_Pt_1.0000_100x100_mesh_4.5E+04_states_SIM_02_05_2026_22_49_52.csv,0.75,0.75π,1.0,45000.0,100,100,0.9996683681806147,0.0037780986497534946
alpha_0.00pi_Pt_1.0000_100x100_mesh_4.0E+04_states_SIM_02_05_2026_22_34_55.csv,0.0,0.00π,1.0,40000.0,100,100,0.9994949235903335,0.0031340686954918315
alpha_1.00pi_Pt_1.0000_100x100_mesh_3.0E+04_states_SIM_02_05_2026_22_56_38.csv,1.0,1.00π,1.0,30000.0,100,100,0.9993036452979985,0.0036799780260763247
alpha_0.75pi_Pt_1.0000_100x100_mesh_2.5E+04_states_SIM_02_05_2026_22_52_01.csv,0.75,0.75π,1.0,25000.0,100,100,0.9993932535541431,0.005110328490146506
alpha_1.25pi_Pt_1.0000_100x100_mesh_4.0E+04_states_SIM_02_05_2026_23_00_43.csv,1.25,1.25π,1.0,40000.0,100,100,0.9996292550413847,0.0039946876224743934
alpha_0.25pi_Pt_1.0000_100x100_mesh_3.0E+04_states_SIM_02_05_2026_22_41_09.csv,0.25,0.25π,1.0,30000.0,100,100,0.9995020713770674,0.004629443016877266
alpha_1.00pi_Pt_1.0000_100x100_mesh_1.0E+04_states_SIM_02_05_2026_22_58_43.csv,1.0,1.00π,1.0,10000.0,100,100,0.9980059376768617,0.006227293472143278
alpha_1.00pi_Pt_1.0000_100x100_mesh_4.5E+04_states_SIM_02_05_2026_22_55_02.csv,1.0,1.00π,1.0,45000.0,100,100,0.9995718298615444,0.002885613471858732
alpha_0.50pi_Pt_1.0000_100x100_mesh_5.0E+03_states_SIM_02_05_2026_22_48_55.csv,0.5,0.50π,1.0,5000.0,100,100,0.9983559037890579,0.011695038715651324
alpha_1.25pi_Pt_1.0000_100x100_mesh_1.0E+03_states_SIM_02_05_2026_23_04_53.csv,1.25,1.25π,1.0,1000.0,100,100,0.9853465280788095,0.02511397543093079
alpha_0.00pi_Pt_1.0000_100x100_mesh_1.0E+03_states_SIM_02_05_2026_22_39_06.csv,0.0,0.00π,1.0,1000.0,100,100,0.9797194688816744,0.019859560419065656
alpha_1.00pi_Pt_1.0000_100x100_mesh_1.5E+04_states_SIM_02_05_2026_22_58_12.csv,1.0,1.00π,1.0,15000.0,100,100,0.9986183479973862,0.005183574021224076
alpha_0.75pi_Pt_1.0000_100x100_mesh_1.0E+04_states_SIM_02_05_2026_22_53_34.csv,0.75,0.75π,1.0,10000.0,100,100,0.9984909618012666,0.008059262722265445
alpha_1.00pi_Pt_1.0000_100x100_mesh_2.5E+04_states_SIM_02_05_2026_22_57_10.csv,1.0,1.00π,1.0,25000.0,100,100,0.9991711554142384,0.004014824092588549
alpha_1.25pi_Pt_1.0000_100x100_mesh_2.5E+04_states_SIM_02_05_2026_23_02_19.csv,1.25,1.25π,1.0,25000.0,100,100,0.9993952951846692,0.005101723417709433
alpha_1.25pi_Pt_1.0000_100x100_mesh_2.0E+04_states_SIM_02_05_2026_23_02_50.csv,1.25,1.25π,1.0,20000.0,100,100,0.9992427626480864,0.005709015351812235
alpha_1.25pi_Pt_1.0000_100x100_mesh_3.0E+04_states_SIM_02_05_2026_23_01_47.csv,1.25,1.25π,1.0,30000.0,100,100,0.9994991196170603,0.0046431445918863464
