Filename,Alpha_Coeff,Alpha_Label,Pt,States,Rows,Cols,R2_Score
alpha_1.00pi_Pt_1.0000_20x20_mesh_1.5E+04_states_SIM_02_05_2026_22_30_20.csv,1.0,1.00π,1.0,15000.0,20,20,0.9985129091438755
alpha_0.75pi_Pt_1.0000_20x20_mesh_3.0E+04_states_SIM_02_05_2026_22_30_04.csv,0.75,0.75π,1.0,30000.0,20,20,0.9995757496027983
alpha_1.00pi_Pt_1.0000_20x20_mesh_1.0E+04_states_SIM_02_05_2026_22_30_21.csv,1.0,1.00π,1.0,10000.0,20,20,0.9980832364277273
alpha_0.25pi_Pt_1.0000_20x20_mesh_4.5E+04_states_SIM_02_05_2026_22_29_35.csv,0.25,0.25π,1.0,45000.0,20,20,0.9997347589624834
alpha_0.00pi_Pt_1.0000_20x20_mesh_1.5E+04_states_SIM_02_05_2026_22_29_31.csv,0.0,0.00π,1.0,15000.0,20,20,0.9987718014080069
alpha_0.25pi_Pt_1.0000_20x20_mesh_1.0E+03_states_SIM_02_05_2026_22_29_47.csv,0.25,0.25π,1.0,1000.0,20,20,0.9863744446371813
alpha_0.50pi_Pt_1.0000_20x20_mesh_2.5E+04_states_SIM_02_05_2026_22_29_53.csv,0.5,0.50π,1.0,25000.0,20,20,0.999741816180902
alpha_1.00pi_Pt_1.0000_20x20_mesh_5.0E+03_states_SIM_02_05_2026_22_30_22.csv,1.0,1.00π,1.0,5000.0,20,20,0.9966966818503349
alpha_0.25pi_Pt_1.0000_20x20_mesh_2.5E+04_states_SIM_02_05_2026_22_29_40.csv,0.25,0.25π,1.0,25000.0,20,20,0.9993052917581372
alpha_0.50pi_Pt_1.0000_20x20_mesh_1.0E+03_states_SIM_02_05_2026_22_29_59.csv,0.5,0.50π,1.0,1000.0,20,20,0.9922449770606556
alpha_0.75pi_Pt_1.0000_20x20_mesh_4.0E+04_states_SIM_02_05_2026_22_30_01.csv,0.75,0.75π,1.0,40000.0,20,20,0.9996468669433601
alpha_0.00pi_Pt_1.0000_20x20_mesh_4.5E+04_states_SIM_02_05_2026_22_29_23.csv,0.0,0.00π,1.0,45000.0,20,20,0.9995907537387531
alpha_1.00pi_Pt_1.0000_20x20_mesh_2.5E+04_states_SIM_02_05_2026_22_30_17.csv,1.0,1.00π,1.0,25000.0,20,20,0.9992358481845695
alpha_1.00pi_Pt_1.0000_20x20_mesh_1.0E+03_states_SIM_02_05_2026_22_30_24.csv,1.0,1.00π,1.0,1000.0,20,20,0.9825402477931421
alpha_0.50pi_Pt_1.0000_20x20_mesh_3.0E+04_states_SIM_02_05_2026_22_29_51.csv,0.5,0.50π,1.0,30000.0,20,20,0.9997295115365358
alpha_0.75pi_Pt_1.0000_20x20_mesh_3.5E+04_states_SIM_02_05_2026_22_30_03.csv,0.75,0.75π,1.0,35000.0,20,20,0.9996156565977478
alpha_0.25pi_Pt_1.0000_20x20_mesh_2.0E+04_states_SIM_02_05_2026_22_29_42.csv,0.25,0.25π,1.0,20000.0,20,20,0.9993337026780266
alpha_1.25pi_Pt_1.0000_20x20_mesh_4.0E+04_states_SIM_02_05_2026_22_30_26.csv,1.25,1.25π,1.0,40000.0,20,20,0.9995914266483127
alpha_1.00pi_Pt_1.0000_20x20_mesh_4.5E+04_states_SIM_02_05_2026_22_30_12.csv,1.0,1.00π,1.0,45000.0,20,20,0.9995785835796303
alpha_1.00pi_Pt_1.0000_20x20_mesh_4.0E+04_states_SIM_02_05_2026_22_30_14.csv,1.0,1.00π,1.0,40000.0,20,20,0.9995281124931956
alpha_0.50pi_Pt_1.0000_20x20_mesh_2.0E+04_states_SIM_02_05_2026_22_29_54.csv,0.5,0.50π,1.0,20000.0,20,20,0.9996632835923334
alpha_0.00pi_Pt_1.0000_20x20_mesh_3.0E+04_states_SIM_02_05_2026_22_29_27.csv,0.0,0.00π,1.0,30000.0,20,20,0.9992962792114123
alpha_1.25pi_Pt_1.0000_20x20_mesh_1.5E+04_states_SIM_02_05_2026_22_30_32.csv,1.25,1.25π,1.0,15000.0,20,20,0.9989361189999498
alpha_0.50pi_Pt_1.0000_20x20_mesh_4.0E+04_states_SIM_02_05_2026_22_29_49.csv,0.5,0.50π,1.0,40000.0,20,20,0.9998167629594139
alpha_1.00pi_Pt_1.0000_20x20_mesh_3.5E+04_states_SIM_02_05_2026_22_30_15.csv,1.0,1.00π,1.0,35000.0,20,20,0.9994754411452669
alpha_0.75pi_Pt_1.0000_20x20_mesh_2.5E+04_states_SIM_02_05_2026_22_30_05.csv,0.75,0.75π,1.0,25000.0,20,20,0.9994545443744363
alpha_0.00pi_Pt_1.0000_20x20_mesh_4.0E+04_states_SIM_02_05_2026_22_29_24.csv,0.0,0.00π,1.0,40000.0,20,20,0.9994861594640523
alpha_0.00pi_Pt_1.0000_20x20_mesh_2.0E+04_states_SIM_02_05_2026_22_29_29.csv,0.0,0.00π,1.0,20000.0,20,20,0.998893867622591
alpha_0.50pi_Pt_1.0000_20x20_mesh_5.0E+03_states_SIM_02_05_2026_22_29_58.csv,0.5,0.50π,1.0,5000.0,20,20,0.9985688067791934
