Filename,Alpha_Coeff,Alpha_Label,Pt,States,Rows,Cols,R2_Score
gpu_alpha_0.00pi_Pt_0.9107_100x100_mesh_2.0E+04_states_SIM_02_05_2026_16_57_59.csv,0.0,0.00π,0.9107,20000.0,100,100,0.998050879768913
gpu_alpha_0.50pi_Pt_0.9107_100x100_mesh_3.0E+04_states_SIM_02_05_2026_17_07_39.csv,0.5,0.50π,0.9107,30000.0,100,100,0.9996232089271726
gpu_alpha_1.25pi_Pt_0.9107_100x100_mesh_3.5E+04_states_SIM_02_05_2026_17_21_30.csv,1.25,1.25π,0.9107,35000.0,100,100,0.9993582709950766
gpu_alpha_0.75pi_Pt_0.9107_100x100_mesh_3.5E+04_states_SIM_02_05_2026_17_12_02.csv,0.75,0.75π,0.9107,35000.0,100,100,0.9993478417866729
gpu_alpha_0.50pi_Pt_0.9107_100x100_mesh_2.0E+04_states_SIM_02_05_2026_17_08_40.csv,0.5,0.50π,0.9107,20000.0,100,100,0.9994509927190529
gpu_alpha_1.25pi_Pt_0.9107_100x100_mesh_1.5E+04_states_SIM_02_05_2026_17_23_27.csv,1.25,1.25π,0.9107,15000.0,100,100,0.9985881561483396
gpu_alpha_0.25pi_Pt_0.9107_100x100_mesh_3.0E+04_states_SIM_02_05_2026_17_02_37.csv,0.25,0.25π,0.9107,30000.0,100,100,0.9992586336680932
gpu_alpha_0.75pi_Pt_0.9107_100x100_mesh_2.5E+04_states_SIM_02_05_2026_17_13_01.csv,0.75,0.75π,0.9107,25000.0,100,100,0.9991026179870864
gpu_alpha_0.75pi_Pt_0.9107_100x100_mesh_3.0E+04_states_SIM_02_05_2026_17_12_32.csv,0.75,0.75π,0.9107,30000.0,100,100,0.999241777520395
gpu_alpha_0.25pi_Pt_0.9107_100x100_mesh_1.0E+03_states_SIM_02_05_2026_17_05_38.csv,0.25,0.25π,0.9107,1000.0,100,100,0.9792506254122506
gpu_alpha_0.50pi_Pt_0.9107_100x100_mesh_4.5E+04_states_SIM_02_05_2026_17_06_04.csv,0.5,0.50π,0.9107,45000.0,100,100,0.9997419004011747
gpu_alpha_1.25pi_Pt_0.9107_100x100_mesh_3.0E+04_states_SIM_02_05_2026_17_22_00.csv,1.25,1.25π,0.9107,30000.0,100,100,0.9992629062000729
gpu_alpha_0.00pi_Pt_0.9107_100x100_mesh_4.5E+04_states_SIM_02_05_2026_16_54_58.csv,0.0,0.00π,0.9107,45000.0,100,100,0.9989375700644215
gpu_alpha_1.25pi_Pt_0.9107_100x100_mesh_4.0E+04_states_SIM_02_05_2026_17_21_01.csv,1.25,1.25π,0.9107,40000.0,100,100,0.9994242804172733
gpu_alpha_0.50pi_Pt_0.9107_100x100_mesh_4.0E+04_states_SIM_02_05_2026_17_06_36.csv,0.5,0.50π,0.9107,40000.0,100,100,0.9997213491299
gpu_alpha_0.00pi_Pt_0.9107_100x100_mesh_2.5E+04_states_SIM_02_05_2026_16_57_25.csv,0.0,0.00π,0.9107,25000.0,100,100,0.9983896663617252
gpu_alpha_1.00pi_Pt_0.9107_100x100_mesh_3.5E+04_states_SIM_02_05_2026_17_16_47.csv,1.0,1.00π,0.9107,35000.0,100,100,0.9987618694735606
gpu_alpha_1.00pi_Pt_0.9107_100x100_mesh_4.5E+04_states_SIM_02_05_2026_17_15_48.csv,1.0,1.00π,0.9107,45000.0,100,100,0.9989700732350838
gpu_alpha_1.00pi_Pt_0.9107_100x100_mesh_2.0E+04_states_SIM_02_05_2026_17_18_14.csv,1.0,1.00π,0.9107,20000.0,100,100,0.9980471105789329
gpu_alpha_0.00pi_Pt_0.9107_100x100_mesh_4.0E+04_states_SIM_02_05_2026_16_55_34.csv,0.0,0.00π,0.9107,40000.0,100,100,0.9988754080895808
gpu_alpha_0.75pi_Pt_0.9107_100x100_mesh_1.0E+03_states_SIM_02_05_2026_17_15_23.csv,0.75,0.75π,0.9107,1000.0,100,100,0.9800808371564089
gpu_alpha_1.00pi_Pt_0.9107_100x100_mesh_5.0E+03_states_SIM_02_05_2026_17_19_39.csv,1.0,1.00π,0.9107,5000.0,100,100,0.9934618487798578
gpu_alpha_1.25pi_Pt_0.9107_100x100_mesh_1.0E+03_states_SIM_02_05_2026_17_24_51.csv,1.25,1.25π,0.9107,1000.0,100,100,0.9799011565414472
gpu_alpha_0.50pi_Pt_0.9107_100x100_mesh_5.0E+03_states_SIM_02_05_2026_17_10_10.csv,0.5,0.50π,0.9107,5000.0,100,100,0.9978086067745897
gpu_alpha_1.00pi_Pt_0.9107_100x100_mesh_4.0E+04_states_SIM_02_05_2026_17_16_18.csv,1.0,1.00π,0.9107,40000.0,100,100,0.9988635697361453
gpu_alpha_1.00pi_Pt_0.9107_100x100_mesh_1.0E+03_states_SIM_02_05_2026_17_20_06.csv,1.0,1.00π,0.9107,1000.0,100,100,0.9672951518231278
