0.8870967741935484,
0.8837004405286344,
0.8813914501257335,
0.8690888119953863,
0.8705366922234392,
0.8688936781609196,
0.8728306403351287,
0.8738104549602399,
0.8777600728431596,
0.8771064529387588,
