0.8848920863309353,
0.8593996840442338,
0.8747980613893377,
0.8703758508434448,
0.8710972346119537,
0.8684876989869754,
0.8805925482567709,
0.8700910273081924,
0.8839995392235918,
0.8743718592964824,
