Filename,Alpha_Coeff,Alpha_Label,Pt,States,Rows,Cols,R2_Score
alpha_0.75pi_Pt_0.9107_20x20_mesh_4.0E+04_states_SIM_02_05_2026_17_01_49.csv,0.75,0.75π,0.9107,40000.0,20,20,0.9994667421775052
alpha_0.00pi_Pt_0.9107_20x20_mesh_1.0E+03_states_SIM_02_05_2026_16_44_08.csv,0.0,0.00π,0.9107,1000.0,20,20,0.9689953917228646
alpha_0.50pi_Pt_0.9107_20x20_mesh_4.0E+04_states_SIM_02_05_2026_16_53_50.csv,0.5,0.50π,0.9107,40000.0,20,20,0.9997495066528717
alpha_0.75pi_Pt_0.9107_20x20_mesh_1.5E+04_states_SIM_02_05_2026_17_03_43.csv,0.75,0.75π,0.9107,15000.0,20,20,0.9985700203329808
alpha_1.25pi_Pt_0.9107_20x20_mesh_1.0E+03_states_SIM_02_05_2026_17_09_36.csv,1.25,1.25π,0.9107,1000.0,20,20,0.9809503781944128
alpha_0.75pi_Pt_0.9107_20x20_mesh_3.5E+04_states_SIM_02_05_2026_16_50_25.csv,0.75,0.75π,0.9107,35000.0,20,20,0.9993222667550704
alpha_0.50pi_Pt_0.9107_20x20_mesh_3.5E+04_states_SIM_02_05_2026_16_50_19.csv,0.5,0.50π,0.9107,35000.0,20,20,0.9996884818170446
alpha_1.00pi_Pt_0.9107_20x20_mesh_4.0E+04_states_SIM_02_05_2026_16_50_30.csv,1.0,1.00π,0.9107,40000.0,20,20,0.9988170143003369
alpha_0.25pi_Pt_0.9107_20x20_mesh_3.5E+04_states_SIM_02_05_2026_16_50_12.csv,0.25,0.25π,0.9107,35000.0,20,20,0.999358993812383
alpha_0.75pi_Pt_0.9107_20x20_mesh_4.0E+04_states_SIM_02_05_2026_16_50_24.csv,0.75,0.75π,0.9107,40000.0,20,20,0.999418065984726
alpha_0.25pi_Pt_0.9107_20x20_mesh_4.0E+04_states_SIM_02_05_2026_13_53_03.csv,0.25,0.25π,0.9107,40000.0,5,20,-0.6731945760865241
alpha_0.75pi_Pt_0.9107_20x20_mesh_1.0E+03_states_SIM_02_05_2026_17_04_17.csv,0.75,0.75π,0.9107,1000.0,20,20,0.9764401908950833
alpha_1.25pi_Pt_0.9107_20x20_mesh_4.0E+04_states_SIM_02_05_2026_17_07_08.csv,1.25,1.25π,0.9107,40000.0,20,20,0.9993324867129403
alpha_0.25pi_Pt_0.9107_20x20_mesh_3.5E+04_states_SIM_02_05_2026_16_47_09.csv,0.25,0.25π,0.9107,35000.0,20,20,0.9994103856563427
alpha_0.25pi_Pt_0.9107_20x20_mesh_1.0E+03_states_SIM_02_05_2026_16_53_09.csv,0.25,0.25π,0.9107,1000.0,20,20,0.9804117880470643
alpha_0.00pi_Pt_0.9107_20x20_mesh_2.0E+04_states_SIM_02_05_2026_16_40_20.csv,0.0,0.00π,0.9107,20000.0,20,20,0.9980655782701066
alpha_0.75pi_Pt_0.9107_20x20_mesh_1.0E+03_states_SIM_02_05_2026_16_50_29.csv,0.75,0.75π,0.9107,1000.0,20,20,0.9819641804818015
alpha_0.75pi_Pt_0.9107_20x20_mesh_1.5E+04_states_SIM_02_05_2026_16_50_28.csv,0.75,0.75π,0.9107,15000.0,20,20,0.9987000277697538
alpha_0.50pi_Pt_0.9107_20x20_mesh_2.0E+04_states_SIM_02_05_2026_16_50_20.csv,0.5,0.50π,0.9107,20000.0,20,20,0.9995525942316861
alpha_0.75pi_Pt_0.9107_20x20_mesh_3.5E+04_states_SIM_02_05_2026_17_02_28.csv,0.75,0.75π,0.9107,35000.0,20,20,0.9993290435213397
alpha_0.00pi_Pt_0.9107_20x20_mesh_1.5E+04_states_SIM_02_05_2026_16_50_09.csv,0.0,0.00π,0.9107,15000.0,20,20,0.997545518023126
alpha_1.00pi_Pt_0.9107_20x20_mesh_2.0E+04_states_SIM_02_05_2026_17_05_46.csv,1.0,1.00π,0.9107,20000.0,20,20,0.99781172265355
alpha_0.25pi_Pt_0.9107_20x20_mesh_1.0E+03_states_SIM_02_05_2026_16_50_16.csv,0.25,0.25π,0.9107,1000.0,20,20,0.9805484116254735
alpha_0.00pi_Pt_0.9107_20x20_mesh_2.0E+04_states_SIM_02_05_2026_16_50_07.csv,0.0,0.00π,0.9107,20000.0,20,20,0.9980525155704003
alpha_0.50pi_Pt_0.9107_20x20_mesh_4.0E+04_states_SIM_02_05_2026_16_50_17.csv,0.5,0.50π,0.9107,40000.0,20,20,0.9997297410295742
alpha_1.00pi_Pt_0.9107_20x20_mesh_3.5E+04_states_SIM_02_05_2026_17_05_07.csv,1.0,1.00π,0.9107,35000.0,20,20,0.9987811291147005
alpha_1.00pi_Pt_0.9107_20x20_mesh_1.0E+03_states_SIM_02_05_2026_16_50_35.csv,1.0,1.00π,0.9107,1000.0,20,20,0.9701161624473336
alpha_0.25pi_Pt_0.9107_20x20_mesh_2.0E+04_states_SIM_02_05_2026_16_49_12.csv,0.25,0.25π,0.9107,20000.0,20,20,0.9990276406118672
alpha_0.0pi_Pt_0.9107_20x20_mesh_1.0E+03_states_SIM_02_05_2026_13_31_01.csv,0.0,0.00π,0.9107,1000.0,20,20,0.3349728019604654
alpha_1.25pi_Pt_0.9107_20x20_mesh_2.0E+04_states_SIM_02_05_2026_17_08_26.csv,1.25,1.25π,0.9107,20000.0,20,20,0.9990196770434093
alpha_0.00pi_Pt_0.9107_20x20_mesh_3.5E+04_states_SIM_02_05_2026_16_37_51.csv,0.0,0.00π,0.9107,35000.0,20,20,0.9987460594689613
